[19-03-04 18:04:21]: {LB_time: 4.10651}
[19-03-04 18:04:27]: {"step":0,"step_time": 5.27612,"total_time": 96.8718,"lb_cost": 4.10651,"load_imbalance": 6.04317,"skewness": 0.710754,"loads": [3.16658, 2.99229, 2.96422, 2.98527, 2.93369, 3.15312, 2.93084, 3.02283, 3.21019, 3.02206, 2.96318, 3.0156, 2.99489, 3.09215, 3.09753, 3.05636, 2.97973, 2.92994, 3.08892, 2.94803, 3.02379, 2.98821, 2.9385, 3.12452, 3.01657, 3.00395, 2.99779, 3.05328, 3.01955, 2.93342, 3.05026, 3.17455],"tloads":[856034, 855122, 855120, 855124, 855122, 855116, 855123, 855116, 855117, 855124, 855115, 855120, 855121, 855116, 855119, 855119, 855122, 855116, 855121, 855119, 855125, 855119, 855119, 855119, 855125, 855118, 855119, 855121, 855120, 855122, 855121, 855127],"slopes":[925]}
[19-03-04 18:04:32]: {"step":1,"step_time": 4.55005,"total_time": 96.8722,"lb_cost": 4.10651,"load_imbalance": 5.99591,"skewness": 0.687467,"loads": [3.17463, 2.95028, 2.96451, 2.98286, 2.93697, 3.15349, 2.92641, 3.02, 3.20877, 3.02418, 2.96851, 3.01592, 2.99442, 3.09707, 3.09651, 3.05928, 3.00387, 2.92938, 3.08466, 2.94743, 3.02301, 2.98977, 2.93862, 3.12606, 3.00912, 3.00358, 3.00081, 3.05551, 3.0235, 2.93465, 3.05467, 3.17372],"tloads":[857018, 855137, 855136, 855132, 855132, 855123, 855128, 855133, 855125, 855135, 855126, 855132, 855129, 855124, 855131, 855127, 855134, 855125, 855129, 855128, 855131, 855130, 855126, 855129, 855138, 855123, 855132, 855133, 855131, 855130, 855132, 855141],"slopes":[954.5, 5.15769, 5.004]}
[19-03-04 18:04:37]: {"step":2,"step_time": 4.54607,"total_time": 96.7506,"lb_cost": 4.10651,"load_imbalance": 6.00298,"skewness": 0.673575,"loads": [3.17478, 2.94437, 2.96159, 2.97867, 2.93347, 3.15132, 2.92191, 3.01535, 3.20495, 3.02051, 2.9621, 3.01177, 2.99103, 3.09157, 3.09219, 3.05611, 2.98188, 2.92665, 3.08044, 2.94243, 3.0193, 2.98586, 2.93312, 3.12258, 3.00551, 3.00026, 2.99294, 3.07838, 3.01862, 2.92942, 3.05044, 3.17105],"tloads":[858076, 855147, 855151, 855148, 855148, 855137, 855139, 855143, 855140, 855144, 855135, 855139, 855138, 855134, 855146, 855140, 855147, 855139, 855137, 855138, 855141, 855142, 855135, 855138, 855148, 855139, 855143, 855144, 855147, 855144, 855141, 855151],"slopes":[988.5, 13, 15, 8.5, 5.15769, 5.15442, 16, 5.004]}
[19-03-04 18:04:42]: {"step":3,"step_time": 4.54345,"total_time": 96.6947,"lb_cost": 4.10651,"load_imbalance": 5.95152,"skewness": 0.663205,"loads": [3.17568, 2.94158, 2.96019, 2.9776, 2.93142, 3.14789, 2.9204, 3.01515, 3.20155, 3.01689, 2.95801, 3.00883, 2.98826, 3.08855, 3.09062, 3.05145, 2.97523, 2.92339, 3.07976, 2.94156, 3.02654, 2.98722, 2.9329, 3.12082, 3.00999, 2.99547, 2.99366, 3.07461, 3.01602, 2.92706, 3.04783, 3.16858],"tloads":[859155, 855155, 855166, 855156, 855161, 855152, 855153, 855156, 855154, 855163, 855145, 855149, 855146, 855147, 855155, 855153, 855153, 855148, 855145, 855144, 855154, 855153, 855151, 855153, 855162, 855150, 855156, 855153, 855160, 855159, 855155, 855163],"slopes":[1013.4, 13, 11.5, 11.5, 7, 8, 8.5, 5.08112, 12, 5.15769, 10, 9.9, 5.15442, 10, 16, 5.004, 5.08207, 9.5, 12, 4.39575]}
[19-03-04 18:04:47]: {"step":4,"step_time": 4.75328,"total_time": 96.7447,"lb_cost": 4.10651,"load_imbalance": 6.05343,"skewness": 0.712316,"loads": [3.1786, 2.94159, 2.95798, 2.97753, 2.93144, 3.14789, 2.91854, 3.01413, 3.20628, 3.02057, 2.96135, 3.00905, 3.01638, 3.08837, 3.09063, 3.05513, 2.97493, 2.92169, 3.08308, 2.97002, 3.01284, 2.98515, 2.94862, 3.1199, 3.00217, 2.99594, 2.98991, 3.06334, 3.01565, 2.92693, 3.04832, 3.1707],"tloads":[860222, 855171, 855179, 855169, 855173, 855164, 855164, 855164, 855160, 855175, 855161, 855160, 855159, 855161, 855162, 855171, 855161, 855160, 855157, 855156, 855164, 855159, 855158, 855162, 855168, 855163, 855168, 855160, 855172, 855173, 855164, 855178],"slopes":[1028.17, 13, 5.02973, 4.31965, 12.7, 7, 8, 8.5, 5.08112, 12, 5.15769, 10, 4.39997, 9.9, 5.15442, 9.5, 16, 5.05372, 5.004, 4.35021, 9.5, 12, 4.39575]}
[19-03-04 18:04:51]: {"step":5,"step_time": 4.54559,"total_time": 96.7786,"lb_cost": 4.10651,"load_imbalance": 5.90696,"skewness": 0.697554,"loads": [3.18309, 2.94299, 2.95831, 2.97624, 2.93116, 3.14732, 2.91974, 3.0132, 3.20298, 3.01644, 2.95656, 3.01606, 3.01638, 3.08777, 3.09075, 3.05307, 2.97438, 2.92404, 3.07861, 2.97034, 3.01317, 2.98321, 2.94866, 3.11937, 3.00322, 3.00025, 2.98995, 3.09001, 3.01904, 2.93459, 3.04738, 3.17034],"tloads":[861344, 855180, 855188, 855179, 855186, 855174, 855183, 855173, 855171, 855187, 855177, 855171, 855171, 855173, 855178, 855181, 855169, 855174, 855166, 855169, 855173, 855167, 855175, 855174, 855181, 855177, 855183, 855171, 855188, 855180, 855175, 855190],"slopes":[1043.5, 13, 11, 4.31965, 12.7, 9.1, 4.26218, 12, 8, 5.08759, 4.30903, 5.08112, 12, 5.15769, 5.16304, 4.39997, 4.51188, 9.9, 5.15442, 9.5, 4.3603, 5.05372, 5.004, 4.35021, 9.5, 4.34189, 12, 4.35962, 4.39575, 5.24005]}
[19-03-04 18:04:56]: {"step":6,"step_time": 4.5443,"total_time": 96.6962,"lb_cost": 4.10651,"load_imbalance": 6.00147,"skewness": 0.715603,"loads": [3.18947, 2.94298, 2.96006, 2.9764, 2.93226, 3.14784, 2.91887, 3.0129, 3.20311, 3.018, 2.95697, 3.01642, 3.01716, 3.08635, 3.09038, 3.05386, 2.97421, 2.92171, 3.07821, 2.94199, 3.01314, 2.99039, 2.93097, 3.11941, 3.00274, 2.99566, 2.98814, 3.04792, 3.0169, 2.92742, 3.05231, 3.17206],"tloads":[862460, 855193, 855197, 855193, 855197, 855186, 855199, 855181, 855179, 855200, 855189, 855176, 855179, 855183, 855189, 855190, 855176, 855182, 855177, 855177, 855182, 855182, 855184, 855185, 855197, 855186, 855194, 855182, 855201, 855187, 855192, 855200],"slopes":[1055.93, 13, 11, 4.31965, 12.7, 9.1, 4.26218, 12, 4.54595, 5.08759, 4.30903, 4.35663, 12, 4.43034, 5.16304, 10.9, 4.51188, 9.9, 4.42574, 4.28851, 10.6, 5.05372, 8.5, 13, 10.9143, 4.34189, 12, 11, 4.46386, 4.39575, 5.24005]}
[19-03-04 18:05:01]: {"step":7,"step_time": 4.54653,"total_time": 96.676,"lb_cost": 4.10651,"load_imbalance": 6.09212,"skewness": 0.744521,"loads": [3.18974, 2.94246, 2.95956, 2.97569, 2.93104, 3.14989, 2.91961, 3.0177, 3.20518, 3.01687, 2.95885, 3.01636, 2.98874, 3.08807, 3.09093, 3.05419, 2.97445, 2.92189, 3.07774, 2.94278, 3.01592, 2.98151, 2.93203, 3.12034, 3.00248, 2.99614, 2.9893, 3.04792, 3.01761, 2.92723, 3.05148, 3.17232],"tloads":[863602, 855207, 855209, 855204, 855208, 855199, 855206, 855190, 855192, 855208, 855197, 855181, 855196, 855195, 855197, 855199, 855193, 855190, 855191, 855189, 855192, 855194, 855193, 855198, 855205, 855192, 855201, 855194, 855206, 855202, 855202, 855213],"slopes":[1067.47, 11.9714, 4.30197, 4.31965, 12.7, 7, 4.26291, 4.55105, 4.54595, 4.35893, 4.30903, 4.54597, 9.5, 4.43034, 12.3, 10.9, 4.51188, 9.9, 4.42574, 8.9, 10.6, 4.3257, 4.27412, 4.46259, 4.35178, 10.9143, 4.34189, 12, 11, 4.46386, 4.39575, 5.24005]}
[19-03-04 18:05:06]: {"step":8,"step_time": 4.54564,"total_time": 96.6952,"lb_cost": 4.10651,"load_imbalance": 6.04665,"skewness": 0.735535,"loads": [3.19364, 2.94243, 2.95846, 2.97556, 2.93127, 3.14938, 2.91966, 3.01623, 3.20444, 3.01921, 2.95855, 3.00895, 2.98808, 3.09071, 3.09077, 3.05145, 2.97474, 2.92161, 3.07905, 2.94345, 3.02624, 2.98186, 2.93155, 3.12326, 3.01021, 2.99615, 2.99, 3.04889, 3.01684, 2.92726, 3.05224, 3.17307],"tloads":[864714, 855215, 855219, 855215, 855213, 855205, 855215, 855205, 855204, 855213, 855209, 855195, 855206, 855204, 855210, 855209, 855201, 855202, 855200, 855198, 855209, 855200, 855205, 855213, 855213, 855204, 855211, 855204, 855219, 855214, 855211, 855219],"slopes":[1075.77, 11.9714, 4.30197, 11.7, 4.27334, 9.1, 4.26218, 4.55105, 10.4643, 4.35893, 4.30903, 4.54597, 9.5, 4.43034, 4.62759, 4.59207, 4.51188, 9.9, 4.4211, 8.9, 4.35567, 4.3257, 10.75, 10.7429, 4.53912, 10.9143, 4.34189, 4.60026, 12.8857, 11.6667, 4.39575, 13.2286]}
[19-03-04 18:05:10]: {"step":9,"step_time": 4.54585,"total_time": 96.7224,"lb_cost": 4.10651,"load_imbalance": 6.0209,"skewness": 0.808221,"loads": [3.19785, 2.94215, 2.96148, 2.97656, 2.93141, 3.18808, 2.91998, 3.01365, 3.20456, 3.01703, 2.9586, 3.00914, 2.98884, 3.0883, 3.09239, 3.05127, 2.97376, 2.92379, 3.07772, 2.94307, 3.01757, 2.9849, 2.9308, 3.11963, 3.00119, 2.99633, 2.99111, 3.04902, 3.01718, 2.92851, 3.05363, 3.17294],"tloads":[865834, 855223, 855228, 855226, 855227, 855220, 855232, 855221, 855213, 855226, 855220, 855208, 855215, 855211, 855220, 855223, 855211, 855215, 855210, 855213, 855222, 855205, 855220, 855224, 855223, 855210, 855220, 855216, 855229, 855228, 855221, 855233],"slopes":[1082.31, 11.9714, 14.3714, 11.7, 4.27334, 11.4286, 12.5238, 4.55105, 10.4643, 4.35893, 8.9, 4.54597, 4.33513, 4.43034, 4.43217, 4.59207, 4.51188, 4.26514, 4.42154, 4.28851, 10.1667, 4.3257, 4.29117, 4.65682, 4.53912, 10.9143, 12.2857, 4.43249, 13.3333, 11.6667, 4.39144, 13.1071]}
[19-03-04 18:05:14]: {LB_time: 3.53706}
[19-03-04 18:05:20]: {"step":10,"step_time": 8.95995,"total_time": 96.8403,"lb_cost": 3.82178,"load_imbalance": 5.9623,"skewness": 0.719306,"loads": [3.16359, 2.95502, 2.96164, 3.00088, 2.93385, 3.20033, 2.92312, 3.02929, 3.20669, 3.03545, 2.96134, 3.02432, 2.99263, 3.09499, 3.09313, 3.05437, 2.97615, 2.92682, 3.08089, 2.94585, 3.02098, 2.98541, 2.93415, 3.1208, 3.00543, 2.99758, 2.99487, 3.05123, 3.01972, 2.92932, 3.05311, 3.16739],"tloads":[856918, 857236, 855237, 857235, 855236, 857233, 855241, 857230, 855229, 857240, 855235, 857221, 855222, 855224, 855231, 855245, 855231, 855234, 855226, 855227, 855235, 855216, 855228, 855239, 855237, 855222, 855227, 855225, 855242, 855243, 855236, 853238],"slopes":[418.484, 4.28403, 12.7167, 11.7, 4.27334, 11.3429, 12.5238, 4.55105, 10.5, 4.35893, 8.9, 4.54597, 4.33204, 4.43034, 4.43217, 4.59207, 9.89286, 4.26651, 4.42154, 4.2834, 10.1667, 4.3257, 4.29117, 4.65682, 4.53912, 10.9143, 12.2857, 4.43249, 13.3333, 4.27709, 4.39271, 12.0818]}
[19-03-04 18:05:24]: {"step":11,"step_time": 4.5501,"total_time": 96.7717,"lb_cost": 3.82178,"load_imbalance": 6.10772,"skewness": 0.738016,"loads": [3.16456, 2.95517, 2.95872, 2.98947, 2.93202, 3.20095, 2.91942, 3.02789, 3.20882, 3.0322, 2.95797, 3.02277, 2.98894, 3.08703, 3.0902, 3.06571, 2.97375, 2.92424, 3.07755, 2.94333, 3.02166, 2.98414, 2.93192, 3.1192, 3.00196, 2.99606, 2.99043, 3.04858, 3.01669, 2.92693, 3.04829, 3.16518],"tloads":[858027, 857256, 855245, 857250, 855249, 857248, 855254, 857236, 855241, 857252, 855254, 857230, 855232, 855238, 855244, 855254, 855236, 855244, 855238, 855241, 855246, 855232, 855245, 855246, 855248, 855229, 855239, 855236, 855259, 855256, 855246, 853251],"slopes":[286.503, 4.28333, 12.7167, 4.31665, 4.4684, 4.49047, 12.5238, 12, 10.8857, 4.54753, 9.2, 9.9, 9.5, 4.62532, 11.2, 4.59207, 4.31528, 4.26276, 4.42143, 4.2834, 10.1667, 4.52208, 4.27316, 10.9643, 4.34572, 11.4643, 4.32921, 4.43249, 13.3333, 4.27709, 4.39271, 12.0818]}
[19-03-04 18:05:29]: {"step":12,"step_time": 4.54924,"total_time": 96.715,"lb_cost": 3.82178,"load_imbalance": 6.1276,"skewness": 0.687792,"loads": [3.17252, 2.95116, 2.95954, 2.98507, 2.93185, 3.15977, 2.92083, 3.02371, 3.20754, 3.02674, 2.95791, 3.01912, 2.98854, 3.08653, 3.09065, 3.06771, 2.97405, 2.9238, 3.07778, 2.94174, 3.01695, 2.9832, 2.9315, 3.1196, 3.00251, 2.99631, 2.99322, 3.04891, 3.01655, 2.92674, 3.04847, 3.16441],"tloads":[859121, 857270, 855258, 857265, 855259, 857256, 855262, 857249, 855251, 857259, 855262, 857238, 855244, 855254, 855251, 855267, 855249, 855256, 855247, 855253, 855254, 855245, 855257, 855265, 855258, 855235, 855248, 855245, 855274, 855264, 855252, 853263],"slopes":[220.904, 4.28333, 14.2, 4.31665, 4.4684, 4.49047, 11.75, 10.3333, 10.5818, 4.35907, 4.2998, 9.26061, 4.33204, 10.8929, 11.2, 12.1667, 4.31528, 4.26276, 9.8022, 9.14286, 4.35715, 4.32685, 4.27316, 10.9643, 4.34371, 11.4881, 4.32921, 10.1429, 13.3333, 11.6, 4.39271, 12.0818]}
[19-03-04 18:05:34]: {"step":13,"step_time": 4.54705,"total_time": 96.7058,"lb_cost": 3.82178,"load_imbalance": 6.05215,"skewness": 0.690978,"loads": [3.17145, 2.9511, 2.95956, 2.98281, 2.93488, 3.15763, 2.92092, 3.02112, 3.20496, 3.02495, 2.95823, 3.01616, 2.98889, 3.08793, 3.0907, 3.06754, 2.97399, 2.92397, 3.0784, 2.94374, 3.01675, 2.98383, 2.93148, 3.11842, 3.00226, 2.99574, 2.99443, 3.049, 3.01635, 2.92686, 3.04734, 3.16442],"tloads":[860260, 857289, 855271, 857274, 855273, 857265, 855270, 857259, 855264, 857272, 855268, 857244, 855255, 855265, 855262, 855273, 855262, 855264, 855257, 855260, 855269, 855259, 855263, 855279, 855273, 855250, 855259, 855252, 855286, 855275, 855264, 853280],"slopes":[197.262, 4.28333, 12.3758, 4.31665, 5.00016, 4.49047, 11.75, 155.108, 10.5818, 4.35907, 11.178, 9.26061, 10.6667, 4.42948, 5.15944, 11.1978, 4.31528, 4.26276, 9.8022, 9.14286, 4.35715, 4.32685, 4.27196, 10.9643, 11.7667, 9.3, 11.7212, 10.1429, 5.08603, 11.1868, 10.7143, -109.901]}
[19-03-04 18:05:38]: {"step":14,"step_time": 4.54373,"total_time": 96.707,"lb_cost": 3.82178,"load_imbalance": 5.96869,"skewness": 0.676136,"loads": [3.17549, 2.94909, 2.95867, 2.98344, 2.93541, 3.1551, 2.91908, 3.02531, 3.20247, 3.02414, 2.95846, 3.01668, 2.98499, 3.08778, 3.09365, 3.0671, 2.97405, 2.92332, 3.07878, 2.94411, 3.01988, 2.98539, 2.93189, 3.12005, 3.00201, 2.99608, 2.99027, 3.04972, 3.01613, 2.92691, 3.0467, 3.16483],"tloads":[861357, 857302, 855289, 857285, 855287, 857278, 855278, 857268, 855270, 857284, 855276, 857257, 855268, 855274, 855271, 855286, 855273, 855273, 855275, 855269, 855280, 855277, 855272, 855291, 855287, 855265, 855267, 855261, 855296, 855288, 855274, 853289],"slopes":[198.679, 4.28352, 13.75, 5.06713, 5.00016, 4.49047, 12.3212, 4.36906, 10.5818, 5.10175, 11.1821, 130.022, 10.6667, 10.9, 10.1, 11.1978, 9.57143, 4.26493, 9.8022, 9.14286, 4.35715, 9.90909, 4.27196, 11.1333, 11.2727, 9.3, 4.33053, 9.7011, 5.08603, 11.167, 10.7143, -109.901]}
